Distributor,Country,World Region,Commercial Region
WM Argentina S.A.,Argentina,South America,LATAM
DiaMed Caribbean,Aruba,The Caribbean,LATAM
DiaMed Caribbean,Bahamas,North America,LATAM
Isla Lab Products LLC,Bahamas,North America,LATAM
DiaMed Caribbean,Barbados,Central America,LATAM
DiaMed Caribbean,Caribbean - Central America - Florida,The Caribbean,LATAM
Isla Lab Products LLC,Caribbean - Central America - Florida,The Caribbean,LATAM
DiaMed Caribbean,Cayman Islands,The Caribbean,LATAM
Grupo Bios,Chile,South America,LATAM
Laboratorio Livio Barnafi,Chile,South America,LATAM
Annar Diagnostica Import sas,Colombia,South America,LATAM
Export LATAM,Colombia,South America,LATAM
QUIMIOLAB,Colombia,South America,LATAM
Capris Médica,Costa Rica,Central America,LATAM
DiaMed Caribbean,Curacao,The Caribbean,LATAM
Bio-Nuclear,Dominican Republic,The Caribbean,LATAM
Referencia Laboratorio Clini,Dominican Republic,The Caribbean,LATAM
Simed (Ecuador),Ecuador,South America,LATAM
ARSAL,El Salvador,South America,LATAM
ARSAL,El Salvador,Central America,LATAM
DiaMed Caribbean,Grenada,The Caribbean,LATAM
DiaMed (Guatemala),Guatemala,South America,LATAM
DiaMed (Guatemala),Guatemala,Central America,LATAM
Diagnostika Capris,Guatemala,South America,LATAM
Caribbean Medical Supplies inc.,Guyana,The Caribbean,LATAM
Dimex Medica,Honduras,Central America,LATAM
QLS PANAMA,Panama,Central America,LATAM
"Biotec del Paraguay, S.R.L.",Paraguay,South America,LATAM
Infotec,Paraguay,South America,LATAM
Biodiz,Peru,South America,LATAM
Diagnostico UAL,Peru,South America,LATAM
Simed (Peru),Peru,South America,LATAM
WP Biomed,Peru,South America,LATAM
Isla Lab Products LLC,Puerto Rico,South America,LATAM
Isla Lab Products LLC,Puerto Rico,Central America,LATAM
DiaMed Caribbean,St. Lucia,The Caribbean,LATAM
DiaMed Caribbean,Trinidad and Tobago,The Caribbean,LATAM
DiaMed Caribbean,US based,Central America,LATAM
Lab IVD Uruguay SA (Wiener lab group),Uruguay,South America,LATAM
Laboratories Cienvar S.A.,Venezuela,South America,LATAM
